participant_id,plan_type,industry,region,age,tenure_years,annual_salary,contribution_rate,annual_contribution,account_balance,plan_funded_ratio,projected_balance_at_65,est_monthly_benefit,replacement_ratio,readiness
100000,401(k),Retail,Midwest,46,14.7,40916,0.1039,4251,87772,0.885,409077,2386,0.7,At Risk
100001,401(k),Education,Northeast,50,16.8,87228,0.1198,10450,227001,0.842,787255,4805,0.661,At Risk
100002,Annuity,Manufacturing,Southeast,39,11.9,78720,0.0229,1803,19413,0.708,194976,2618,0.399,Off Track
100003,401(k),Healthcare,West,53,10.3,33313,0.0845,2815,12803,0.828,73251,1244,0.448,Off Track
100004,Defined Benefit Pension,Retail,West,55,0,60548,0.056,3391,500,1.001,45591,2423,0.48,Off Track
100005,Annuity,Public Sector,Southwest,55,12.7,34534,0.0656,2265,52492,0.891,123860,1413,0.491,Off Track
100006,401(k),Construction,West,46,16.8,58320,0.0389,2269,38036,0.927,191683,2097,0.431,Off Track
100007,401(k),Retail,Southeast,61,11.5,55259,0.0805,4448,46530,0.981,78201,1642,0.357,Off Track
100008,Defined Benefit Pension,Education,West,45,5.7,99782,0.0566,5648,38981,0.758,332782,6648,0.8,On Track
100009,401(k),Construction,Southwest,44,0,67610,0.0232,1569,500,0.665,64448,1905,0.338,Off Track
100010,Defined Benefit Pension,Healthcare,West,65,15.6,65189,0.0363,2366,35349,0.74,35349,3019,0.556,At Risk
100011,Annuity,Construction,West,35,12.3,61012,0.0458,2794,18855,0.856,329182,2623,0.516,Off Track
100012,401(k),Education,Midwest,28,23.1,28000,0.0216,605,27747,0.831,316623,2055,0.881,On Track
100013,Annuity,Construction,Southwest,38,0.4,69238,0.0589,4078,20509,0.829,358694,2927,0.507,Off Track
100014,401(k),Healthcare,Southeast,53,8.2,85519,0.0686,5867,36034,0.922,171483,2710,0.38,Off Track
100015,Defined Benefit Pension,Retail,Midwest,63,1.4,78485,0.0293,2300,7304,0.808,12945,2339,0.358,Off Track
100016,401(k),Public Sector,Southeast,40,20.2,91393,0.0575,5255,117525,0.733,792715,4927,0.647,At Risk
100017,Defined Benefit Pension,Transportation,Northeast,70,21.9,92756,0.0729,6762,196384,0.742,196384,5513,0.713,On Track
100018,Annuity,Public Sector,West,48,27.4,133546,0.0872,11645,358195,0.934,1293077,6644,0.597,At Risk
100019,401(k),Education,Northeast,47,16.2,40395,0.1174,4742,111912,0.989,465989,2563,0.761,On Track
100020,401(k),Manufacturing,Southeast,38,18.3,78572,0.0966,7590,124475,1.028,1083788,5577,0.852,On Track
100021,Defined Benefit Pension,Retail,West,71,15.5,81710,0.0479,3914,94369,0.803,94369,3940,0.579,At Risk
100022,Annuity,Construction,Southeast,46,16.6,63046,0.0517,3259,68331,0.881,316766,2632,0.501,Off Track
100023,Annuity,Public Sector,Southwest,32,12.4,54290,0.033,1792,57303,0.917,566425,3245,0.717,On Track
100024,401(k),Transportation,Northeast,77,17,85966,0.02,1719,59466,0.895,59466,2347,0.328,Off Track
100025,Defined Benefit Pension,Retail,Midwest,53,29.1,83278,0.0686,5713,173966,0.927,446432,7734,1.114,On Track
100026,401(k),Education,Northeast,58,13.7,42514,0.084,3571,43210,0.944,94946,1379,0.389,Off Track
100027,Defined Benefit Pension,Public Sector,Northeast,68,12.2,28000,0.0668,1870,20049,0.768,20049,1494,0.64,At Risk
100028,Defined Benefit Pension,Education,West,55,13.6,58235,0.0542,3156,53624,0.785,137631,3633,0.749,On Track
100029,401(k),Healthcare,Northeast,60,10.8,53144,0.1284,6824,67314,0.911,128549,1757,0.397,Off Track
100030,401(k),Education,Southwest,49,14,88876,0.0901,8008,136907,0.741,553378,4066,0.549,Off Track
100031,Annuity,Public Sector,Midwest,57,10.5,46129,0.0217,1001,16732,0.785,36576,1275,0.332,Off Track
100032,Defined Benefit Pension,Healthcare,Midwest,48,21.2,67027,0.0657,4404,100802,0.879,395686,6195,1.109,On Track
100033,Defined Benefit Pension,Retail,Southwest,48,20.4,28000,0.0496,1389,49588,0.801,172717,2885,1.236,On Track
100034,401(k),Public Sector,Southeast,49,29.3,28558,0.096,2742,98841,0.903,321485,2072,0.87,On Track
100035,Defined Benefit Pension,Retail,Southeast,43,11.8,50454,0.0647,3264,59649,0.776,356580,4582,1.09,On Track
100036,Defined Benefit Pension,Education,Midwest,54,14.3,64985,0.0618,4016,109436,0.574,267868,4573,0.844,On Track
100037,401(k),Manufacturing,West,54,14,49045,0.0782,3835,52013,0.895,156152,1747,0.427,Off Track
100038,Defined Benefit Pension,Retail,Southwest,58,13.6,75997,0.0699,5312,97031,0.851,190487,4492,0.709,On Track
100039,401(k),Construction,Midwest,56,21,28000,0.0591,1655,34832,1.011,77866,1260,0.54,Off Track
100040,401(k),Retail,Southeast,72,0,65979,0.1148,7574,10662,0.815,10662,1685,0.306,Off Track
